aid,2000,2003,2006,2009
1149183,D,C,C,C
11496,B,B,B,B
1149647,C,C,C,C
115,A,A,A,A
1150612,C,C,C,C
1150723,A,A,B,B
11514,C,C,C,C
11518,C,C,C,C
11532,D,C,C,C
1153844,C,C,C,C
1154311,B,B,B,B
1154415,C,C,C,C
1154602,A,A,A,A
1154845,B,A,C,C
1154938,C,D,C,C
1155266,C,C,C,C
115582,C,C,D,B
115604,C,C,C,C
115614,B,B,B,B
1156153,A,A,A,A
115622,B,B,A,A
115624,C,C,C,C
1156268,B,A,B,B
115628,D,C,C,
115647,C,C,C,C
115656,C,B,B,B
115657,C,A,B,B
115661,C,C,C,C
115697,A,A,B,A
11570,C,C,C,C
115703,B,B,A,A
115704,A,A,A,A
1157218,A,A,A,A
115742,D,D,D,D
1157479,C,D,D,D
115756,C,C,C,C
115767,B,B,B,B
11579,D,C,C,A
1157913,C,C,C,C
11580,B,A,B,A
115820,D,D,D,D
1158312,C,C,C,C
115842,A,A,A,C
115847,B,D,D,C
115851,C,C,C,C
115853,C,C,C,C
115857,C,C,D,D
11588,B,C,C,C
11591,C,C,C,D
1159105,C,B,D,D
1159106,C,C,C,C
115922,D,D,D,D
1159273,A,A,A,A
1159757,A,C,C,D
115996,B,B,B,B
116000,B,B,B,B
116005,C,C,C,C
1160086,B,B,B,B
1160146,C,C,C,C
1160247,B,D,D,D
1160258,C,D,D,D
116031,D,D,B,B
116040,B,D,D,D
116056,C,C,C,C
1161,D,D,D,D
116112,C,C,C,C
116128,B,B,B,C
116139,B,B,B,B
11614,A,A,A,A
11615,D,A,A,A
116151,D,D,B,B
116168,B,A,A,A
116179,B,B,B,B
1161918,D,D,B,B
1162,B,B,B,D
1162254,C,D,D,D
116230,B,B,B,B
116232,C,C,C,C
1162358,A,B,B,B
1162421,C,C,A,A
1162425,A,C,,
1162426,A,C,,
116254,C,C,C,C
1162595,C,C,C,C
116280,A,A,A,A
1162817,D,C,,D
1162860,B,B,B,B
116289,C,C,C,C
1162899,D,B,D,B
116293,C,C,C,C
116299,C,C,C,C
1163029,C,C,C,C
116315,C,C,C,C
1163296,C,C,C,C
116330,C,C,C,C
1163434,B,A,A,A
1163586,D,C,C,C
11636,B,B,D,D
116401,B,B,B,B
116412,B,A,A,B
116416,B,B,B,B
116419,C,C,C,D
116437,C,C,C,C
11644,C,C,D,D
1164444,D,C,D,B
116459,A,C,C,C
1164690,C,C,C,C
116508,B,B,B,B
116509,D,D,D,D
1165223,C,C,C,C
1165263,A,C,C,C
116531,C,C,C,C
1165351,B,C,,
1165640,D,D,D,D
1165705,A,A,A,A
116573,A,A,A,A
1165843,B,A,A,A
116585,A,A,A,A
1165898,C,C,C,C
116596,B,B,,B
1166077,C,C,C,C
