aid,2000,2003,2006,2009
127152,B,B,B,B
127156,A,A,C,C
127157,A,B,B,A
12716,C,C,C,C
127172,B,D,D,D
127174,D,D,D,D
127189,A,A,C,C
127190,B,B,B,D
127196,B,B,B,B
127198,A,A,C,C
127217,D,D,D,D
127222,B,D,D,D
127224,C,C,C,C
127228,A,A,A,A
127229,C,A,C,D
127235,B,B,B,B
127239,C,C,C,C
127241,C,C,C,C
127242,D,D,C,C
127243,D,D,D,D
127247,D,D,D,D
127266,D,C,C,C
127279,C,C,C,C
127285,C,C,C,C
127287,C,C,C,C
127293,B,A,A,B
127295,B,B,B,D
127296,D,D,D,D
127297,D,D,D,D
127310,A,A,A,A
127316,B,B,B,B
127318,B,B,B,B
127319,B,B,B,B
12732,A,A,C,C
127329,D,D,D,D
127331,D,D,D,D
127335,B,A,A,A
12734,C,C,C,C
127350,A,A,A,A
127368,C,A,A,A
127371,B,B,B,A
127378,B,B,B,B
12738,A,A,A,A
127381,A,A,B,B
127382,B,B,B,B
127383,D,D,D,D
127391,C,A,A,A
127397,B,B,B,B
127399,C,B,B,B
127404,D,D,D,B
127406,D,D,,C
127418,C,C,C,C
12742,C,C,C,C
127420,D,C,C,C
127425,C,C,A,A
127432,C,C,C,C
127435,D,D,D,D
127442,B,B,C,C
127443,C,C,C,C
127444,A,A,A,A
127481,B,B,B,B
127483,D,D,D,D
127486,C,C,C,C
127487,D,D,D,D
127492,C,C,A,A
127494,D,D,D,B
127506,C,C,C,C
127519,C,C,C,C
127535,B,A,A,C
127536,D,B,B,B
127548,A,A,B,B
127555,C,C,C,C
127560,D,D,D,D
127561,C,C,,D
127566,C,C,C,C
127574,D,D,C,C
127586,D,D,D,B
127589,C,C,C,C
127602,C,C,C,D
127606,A,A,A,A
127620,D,D,D,D
127636,B,B,B,B
127637,D,D,D,D
127645,D,D,D,B
127657,D,B,B,D
127665,C,C,C,C
127666,B,B,B,B
127667,C,C,C,C
127668,C,C,C,C
127681,D,D,D,D
127702,C,C,C,C
12772,C,D,D,D
127726,C,C,C,C
127731,C,C,C,C
127741,C,C,C,C
127746,B,B,B,B
127747,D,B,B,B
12775,C,C,C,C
127750,D,D,,D
127754,D,D,D,D
127759,A,B,B,B
12776,C,C,C,C
127760,B,B,B,B
12777,C,C,C,C
127778,C,C,C,C
12778,B,A,C,A
127780,B,B,B,B
127793,D,D,D,D
127795,B,B,B,B
127796,C,C,,
127797,B,C,C,C
127804,D,D,D,D
127805,D,D,D,C
127813,B,B,B,B
12782,C,C,C,C
127822,C,C,C,C
127837,B,B,B,B
127844,C,C,C,C
127846,C,C,C,C
127850,C,C,C,C
127853,A,A,C,C
127861,B,B,B,B
127862,A,B,B,B
127864,C,C,C,C
12788,C,C,C,C
127880,C,C,C,C
127886,C,C,C,C
127888,B,B,B,B
127889,B,B,B,B
127890,B,B,B,B
127891,B,B,B,B
127892,D,D,D,D
127893,D,D,D,D
127896,C,C,C,C
127901,D,D,D,D
127907,B,B,B,B
127908,B,D,D,D
127910,B,B,B,B
127922,B,B,B,B
127923,D,D,D,C
127924,D,D,D,C
127938,D,D,D,D
127951,C,C,C,C
127953,B,B,B,B
127964,C,C,C,C
127972,B,B,B,B
127976,B,B,C,D
127980,C,C,C,C
127987,D,D,D,D
127998,C,D,D,D
128004,C,C,C,C
12801,C,D,B,B
128015,B,B,B,B
128018,D,D,D,D
128019,D,D,D,D
128020,B,B,A,C
128025,D,B,B,B
128052,C,C,C,C
128055,B,B,B,B
128059,C,C,C,C
128065,D,D,C,C
1280829,C,C,C,C
128083,B,B,B,B
128085,A,A,A,C
128086,D,D,D,D
128091,C,C,C,C
128098,C,A,,A
128099,B,B,B,B
128104,C,D,D,D
128112,C,C,C,C
128117,D,D,B,B
128121,D,D,D,D
128124,C,C,C,C
128144,C,D,D,D
128145,C,C,C,C
12815,C,C,C,C
128151,B,B,B,C
128152,B,A,B,A
128158,C,A,C,A
128159,C,C,C,D
128163,D,D,D,D
128169,A,A,B,
128188,C,C,,D
128197,B,B,B,B
128199,C,B,B,B
128204,C,C,C,A
128209,B,B,B,B
128223,A,A,C,C
128228,D,D,C,C
128256,D,D,C,C
128260,A,B,B,B
128268,A,C,C,C
128274,C,C,C,C
128277,C,C,C,A
128286,B,B,B,B
128287,B,B,B,B
128289,A,B,B,B
128295,C,C,C,C
128302,B,B,B,B
128305,A,A,A,A
128312,B,B,B,B
128316,B,B,B,B
128318,B,B,B,B
128321,B,B,B,B
128327,B,B,B,B
128329,B,B,B,B
12833,C,C,C,C
128330,B,B,B,B
128331,B,B,B,B
128332,B,B,B,B
128336,B,B,B,B
128341,C,C,C,C
128348,B,B,B,B
128350,B,B,B,B
12837,B,A,A,A
128375,C,C,C,C
128380,C,C,B,B
128381,C,C,C,C
128391,C,C,C,C
1284074,C,C,C,C
12841,A,A,A,A
128410,C,C,C,C
128419,B,B,B,B
128422,C,C,C,C
128426,B,B,B,B
128438,C,C,C,C
128446,D,C,C,C
128447,B,B,B,B
128448,C,C,C,C
128462,C,C,C,C
128465,C,C,C,C
128469,C,C,C,C
128470,B,B,B,B
128474,D,C,C,C
128489,A,B,B,B
12849,C,C,C,C
128499,B,B,B,B
1285,A,D,B,B
128503,B,B,B,B
128512,C,C,C,C
128516,C,D,D,D
128517,D,D,D,D
128524,D,D,D,D
128529,D,D,D,D
12853,B,B,B,D
128536,A,A,A,A
128540,A,B,B,B
128541,A,B,B,B
128544,B,B,B,B
128546,B,B,B,B
128550,A,B,A,B
128553,B,A,B,B
128555,A,A,C,C
128560,B,B,B,B
128566,D,C,C,
128567,D,D,C,D
128568,B,B,B,B
128572,B,B,B,B
128574,D,C,C,D
1285807,C,C,C,C
128581,B,B,B,B
128583,C,D,D,D
128592,D,C,D,D
128593,C,C,C,C
128595,D,D,D,D
128602,C,C,C,C
128613,B,A,D,D
128623,C,A,A,A
128626,B,B,B,B
128627,D,D,D,D
128630,B,B,B,B
128633,A,C,C,C
1286347,D,B,B,B
128635,A,C,C,C
128636,B,A,A,A
128661,C,C,C,C
128662,C,A,A,A
128667,C,C,C,C
128676,B,B,B,B
128679,C,C,C,C
128681,C,D,D,D
128695,D,D,C,C
128700,D,B,B,B
128703,B,B,B,B
128705,C,C,D,D
128730,B,B,B,B
128735,C,C,C,C
128749,C,C,C,C
128754,C,C,C,C
128771,B,B,B,B
128775,B,B,B,B
128776,A,A,A,B
128783,A,A,A,B
128789,D,D,D,D
128791,D,C,C,C
128794,D,D,D,D
128808,D,D,D,D
128809,C,A,A,C
128817,B,B,B,A
128837,C,D,D,D
128844,B,B,B,B
128846,B,B,B,B
128875,C,C,C,C
128880,B,B,B,B
128882,C,C,A,A
128883,A,B,A,A
128892,D,D,C,D
128900,B,B,B,B
128903,B,B,B,B
128921,D,D,C,C
128922,A,A,A,A
128930,A,B,B,B
128931,C,C,C,C
128935,B,B,B,B
128939,B,B,B,B
128942,B,B,B,B
128944,B,B,B,B
128945,B,B,B,B
128952,D,C,C,C
128958,D,D,D,D
128960,C,C,C,C
128961,D,D,D,D
128967,C,C,C,C
128970,D,D,D,D
128974,C,D,,C
128976,C,C,C,C
128977,C,D,D,D
128986,A,B,B,B
129012,D,B,D,B
129022,D,D,D,D
129033,D,D,D,D
129048,B,B,B,B
129050,B,B,B,B
129056,B,B,B,B
129059,D,D,D,D
129061,D,D,D,D
129070,D,D,D,D
129077,C,C,C,C
129078,A,A,A,A
129095,B,B,B,B
129100,A,A,C,D
129110,B,B,B,B
129118,C,C,C,C
129121,C,C,C,C
12914,C,C,C,
129141,B,B,B,B
129146,C,C,C,C
129152,C,C,C,C
129164,C,C,C,C
129173,D,C,C,C
129188,C,C,C,A
129196,B,A,A,A
129204,B,B,B,B
129208,C,C,C,C
129209,C,C,C,C
129211,C,C,D,D
129222,C,C,C,C
129231,B,B,A,A
129236,B,B,B,B
129240,C,C,C,C
129248,C,C,C,C
129249,C,C,D,D
129258,D,C,C,C
129264,C,C,C,C
129265,C,C,C,C
129267,B,B,B,B
129275,B,B,B,B
129276,B,B,A,A
129280,B,C,B,A
129281,C,C,C,C
129287,C,B,B,B
129290,C,C,,D
129297,D,B,B,B
129302,B,B,A,A
129305,B,B,C,D
129310,C,C,C,C
129311,B,B,B,B
129313,C,A,A,A
129316,C,C,C,C
129317,D,A,A,A
129318,D,D,C,C
129321,B,C,D,D
129322,D,D,D,D
129325,C,D,D,C
129347,C,C,C,C
129350,B,B,C,C
129353,D,D,D,D
129355,B,B,B,B
129360,B,B,B,B
129369,C,C,C,A
129375,D,D,D,D
129379,B,B,A,B
129381,B,B,B,B
129389,B,B,B,B
129402,C,C,C,C
129410,C,C,C,C
129429,B,B,B,B
129430,C,C,C,C
129436,C,C,C,C
129442,C,C,C,C
129446,A,A,A,A
129447,B,B,B,B
12945,B,B,B,B
129451,B,B,B,B
129452,B,B,B,B
129456,A,B,B,B
129469,C,D,C,C
129470,D,D,D,C
129477,C,C,C,C
129482,A,A,A,A
129483,C,B,B,B
129487,C,C,A,A
129489,C,C,C,D
129496,B,B,B,B
129498,B,B,B,B
129500,B,B,B,B
129503,B,B,B,B
129505,C,A,A,
129507,D,B,B,B
129514,A,A,A,A
129520,D,D,D,D
129527,B,A,B,C
1295362,C,C,A,B
129544,B,B,B,B
129581,C,C,C,C
129591,C,C,C,C
129594,B,C,C,C
129598,D,C,C,C
129609,C,C,C,C
129614,C,C,C,C
129637,D,D,B,B
129643,A,B,B,B
129645,C,D,D,B
129650,C,C,C,C
129655,B,B,B,B
129663,A,A,B,B
129671,C,C,C,D
1296846,C,C,C,C
129702,B,B,B,B
129703,B,D,C,C
129713,C,C,C,C
129720,D,D,D,D
129723,D,D,D,D
129727,D,D,D,D
129734,A,A,A,A
129738,B,A,A,A
129749,B,B,B,B
129762,C,C,C,C
129773,B,B,A,A
129775,A,B,B,B
129776,A,A,A,A
12978,C,C,C,
129786,C,C,C,C
129796,B,A,B,B
129797,B,B,B,B
129808,B,B,A,A
129811,D,D,D,D
129821,C,C,C,C
129823,B,B,B,B
129840,C,C,C,C
129846,D,D,D,D
129847,B,B,B,B
129848,B,B,B,B
129860,B,D,D,D
129872,D,D,D,D
129874,C,C,C,C
129877,C,C,C,C
129890,C,C,C,C
129907,B,D,B,D
129910,A,A,,D
129914,B,B,B,B
129927,C,C,C,C
129931,C,C,C,D
129941,D,C,C,C
129943,C,C,C,C
129945,C,C,C,C
12996,C,D,C,
129964,D,C,C,C
129967,B,B,B,B
129969,A,A,A,B
129970,D,D,C,C
129973,C,C,C,C
129985,D,B,B,B
129986,A,B,B,B
129988,D,D,,D
129993,B,B,B,B
130005,B,B,B,B
130007,B,B,B,B
130010,D,D,C,C
130011,C,C,C,C
130013,C,C,C,C
130014,C,C,C,C
130018,C,C,C,C
130021,B,B,D,D
130029,A,C,C,C
130034,B,B,B,B
130047,C,C,C,C
130056,C,A,A,A
130066,D,C,C,C
130068,D,C,C,C
130084,C,D,,
130101,A,A,A,A
130103,D,D,D,B
130126,D,D,D,D
130132,D,D,D,D
130140,B,B,B,B
130141,B,B,B,B
130160,B,B,B,B
130165,B,B,B,B
130166,B,B,B,B
130181,C,C,C,C
130187,D,D,D,A
130191,B,B,B,B
1301951,A,C,B,B
130205,B,D,D,B
130206,B,C,C,C
130211,D,C,C,C
1302163,A,B,B,B
130225,B,B,B,B
130232,B,B,B,B
130242,A,A,A,A
130254,B,C,C,C
130259,D,D,C,C
130261,B,B,B,B
130265,B,B,B,B
130268,C,D,,D
130271,C,C,C,C
130276,B,A,A,A
130294,C,C,,
130295,B,B,B,B
130297,B,B,B,B
130308,A,A,A,B
130320,C,C,C,C
130335,D,C,C,C
130348,C,C,C,C
130360,C,D,D,D
130362,C,B,B,B
130365,C,C,D,D
130367,C,B,B,B
130384,B,B,B,B
130393,D,D,D,D
130403,D,C,C,D
130405,C,C,C,C
130416,A,A,B,B
130417,A,A,A,A
130418,B,B,B,B
130425,C,C,C,C
130427,C,C,C,C
130437,B,B,B,B
130439,B,B,B,B
130447,B,B,B,B
130448,B,B,B,B
130450,C,C,,C
130465,C,C,C,C
130466,C,C,C,C
130468,C,C,C,C
130470,B,A,A,B
130484,B,B,B,B
130486,D,D,D,D
130498,C,C,C,C
130508,B,B,B,B
130509,B,B,B,B
130512,C,C,C,C
130513,D,C,C,C
130517,D,B,B,B
130519,D,C,A,A
130525,A,A,A,B
130528,B,B,B,B
130531,B,B,B,B
130533,C,C,C,C
130548,B,B,B,B
130555,A,A,A,B
130557,C,D,D,D
130563,B,B,B,B
130566,D,D,D,C
130568,B,B,B,B
130572,B,B,B,B
130573,B,B,B,B
130578,B,B,B,B
130579,B,B,B,B
130584,B,B,B,B
130585,B,B,B,B
130589,B,B,B,B
130590,B,B,B,B
130598,C,D,C,C
130605,B,B,B,D
130607,C,C,C,D
130609,C,C,C,C
130612,A,C,C,C
130616,C,C,C,C
130620,B,B,B,B
130624,B,B,B,B
130626,B,B,B,B
130629,B,B,B,B
130632,A,B,B,B
130635,B,B,B,B
130638,B,B,B,B
130658,B,B,B,B
130660,B,B,B,B
130665,C,C,C,C
130679,D,D,D,D
130681,A,A,A,A
130699,C,C,C,C
130706,B,B,C,C
130709,C,C,D,D
130713,C,C,C,C
130717,B,B,B,B
130735,A,A,B,B
130739,D,D,D,D
130753,A,A,A,C
130765,B,A,C,D
130769,B,B,A,A
130771,C,C,B,B
130772,C,C,D,D
130774,B,B,B,B
130776,B,B,C,D
130785,C,C,C,C
130800,D,C,C,C
130804,C,C,C,C
130806,C,C,C,C
130814,B,B,B,B
130837,C,C,C,C
13084,D,D,D,C
130847,C,C,C,C
130850,C,A,A,A
130864,B,B,B,B
130865,B,B,B,D
130871,B,D,D,C
130872,D,D,D,D
130873,D,D,C,D
130878,B,B,B,B
1308816,C,C,C,C
130912,C,C,D,D
130922,B,B,B,B
130926,B,B,B,B
130929,D,D,C,C
130930,D,D,,D
130936,A,A,A,A
130939,B,B,B,B
130950,C,C,D,B
130951,C,C,C,C
130952,C,A,A,A
130974,B,A,A,
130988,C,C,,C
130996,D,B,D,D
130998,D,B,B,B
131005,C,C,C,C
131007,C,C,C,C
131008,C,C,C,C
131010,C,C,C,C
131012,B,B,B,B
131014,D,C,D,D
131015,D,D,,
131017,C,D,C,C
131018,B,B,B,B
131019,B,B,B,B
131020,A,A,A,A
131034,A,A,C,C
131035,C,D,C,C
131058,D,B,B,A
131059,A,C,C,A
131060,C,C,C,C
131065,B,A,A,A
131066,C,C,C,C
131073,C,C,C,C
131098,C,C,C,C
131102,B,B,B,B
131113,D,D,D,D
131119,C,C,C,C
131121,A,A,A,A
131122,B,B,D,C
131138,C,D,D,D
131146,B,B,B,B
131148,D,D,D,B
131166,D,D,D,D
131177,B,B,B,B
131207,B,B,B,B
131209,D,D,D,B
131211,B,B,C,C
131214,D,C,D,D
13122,B,B,A,A
131231,A,B,,B
131258,D,D,D,B
131260,C,C,C,A
131266,D,D,D,D
131280,C,C,C,C
131299,B,B,B,B
13130,C,C,C,C
131313,B,B,B,B
131314,C,C,C,C
131317,D,C,C,C
131318,D,C,C,C
131325,C,C,C,
131328,B,B,B,B
131330,C,B,A,A
131338,D,B,B,B
131346,B,B,,C
131349,B,B,B,B
131357,C,C,C,C
131361,B,B,B,B
131363,B,A,A,A
131378,D,D,D,D
131399,B,B,B,B
131416,B,B,D,C
131434,C,C,C,A
131438,C,C,C,C
131447,B,D,C,D
131448,B,B,B,B
131450,D,D,D,D
131451,D,D,D,D
131461,C,C,C,C
131468,C,C,C,C
13148,D,D,D,D
131487,B,C,C,C
13149,B,B,B,B
131501,C,D,D,D
131504,D,D,D,D
131511,C,C,C,C
131512,C,C,D,D
1316411,D,C,C,C
13175,A,C,C,C
1321928,C,C,C,C
13242,B,B,B,B
1328,D,D,B,B
13291,D,B,B,B
13310,C,C,C,C
133287,C,C,C,C
133349,D,D,D,D
133350,D,C,C,C
133380,D,D,D,B
133382,B,B,B,B
133388,C,C,C,C
133392,A,A,A,A
133394,A,A,C,C
1334,D,D,D,D
133407,B,A,A,A
133423,A,A,A,A
133428,B,B,A,A
133445,A,A,A,C
13345,C,C,C,C
133452,A,C,A,A
133455,B,A,A,A
133478,D,D,D,D
133483,B,B,B,B
133485,B,B,B,B
133493,A,A,A,B
133505,C,C,C,C
133506,C,C,C,C
133514,B,B,B,B
133521,B,B,B,B
133535,C,C,C,C
133551,A,A,,A
133552,B,B,B,B
133556,B,B,B,B
133558,C,A,A,A
133559,A,A,B,B
133561,C,C,C,C
133564,C,D,D,D
133565,C,D,D,D
133569,B,B,B,D
133578,C,B,B,B
133580,B,B,B,B
133584,A,B,B,B
133585,D,D,B,B
133586,C,C,C,C
133599,C,A,B,B
133610,C,B,B,B
133622,D,D,D,C
133625,D,D,D,D
133627,C,D,D,D
133637,B,B,B,B
133642,D,D,C,C
133648,D,D,D,B
133684,B,B,B,B
133712,B,B,B,B
133713,B,B,B,B
133719,B,B,,C
133722,C,C,C,C
133727,A,C,C,C
13373,B,D,B,B
133748,C,C,C,C
133751,B,B,B,B
133757,B,D,,D
13376,C,C,,A
133767,B,B,A,A
13377,B,B,B,B
133788,B,B,A,C
133795,B,B,B,B
133797,A,A,A,A
133805,B,B,B,B
133809,B,A,A,B
133823,D,D,D,D
133843,C,C,C,A
133845,B,D,D,D
133848,C,C,A,A
133849,A,A,A,A
133875,A,B,A,A
133876,A,C,C,C
133885,A,A,A,A
133888,D,D,D,D
133898,D,D,B,B
133899,C,D,D,D
133900,C,C,D,D
13391,D,D,,D
133915,D,D,D,D
133920,A,A,A,C
133922,B,A,B,B
133936,C,C,D,C
133975,C,C,C,C
133981,A,B,,C
133982,C,A,A,
133990,C,C,C,C
133998,C,C,C,C
134000,D,D,D,D
134001,D,D,D,C
134012,B,A,A,C
134020,A,A,A,A
134025,B,B,B,B
134026,C,C,C,C
134031,C,C,D,B
134032,B,B,D,D
134033,D,D,D,D
134041,C,C,C,C
134076,B,B,B,B
134090,B,B,B,B
134091,B,B,B,B
134092,B,B,B,B
134093,A,B,B,B
134094,D,C,C,A
134097,B,B,B,B
134100,B,B,B,B
134101,B,B,B,B
134104,C,C,C,C
134117,C,C,D,D
134121,D,C,C,D
134134,B,B,B,B
134138,A,A,A,C
134140,C,C,C,C
134172,B,D,D,D
134183,D,C,C,D
134187,C,C,C,C
134227,C,C,D,D
134232,C,C,C,C
134249,C,C,C,C
134250,D,D,B,B
134259,C,C,C,C
134271,C,B,B,B
134275,B,B,B,
134280,A,A,B,B
134281,C,C,,B
134284,A,A,A,A
13429,A,B,B,B
134294,B,B,B,B
134295,B,D,D,D
134298,B,B,B,B
134301,B,B,C,C
134303,B,B,B,B
134306,A,A,B,A
134325,B,B,B,B
134327,B,B,B,B
134331,B,B,B,D
134342,C,B,B,B
134345,B,B,B,B
134349,B,B,B,B
134357,B,B,B,B
134363,B,A,A,A
134388,C,C,C,C
134391,C,C,C,C
134407,B,B,A,C
134410,B,B,B,B
1344174,A,A,A,A
134433,C,A,A,A
134435,B,A,A,A
134438,A,A,A,A
134456,C,C,C,C
13446,B,D,D,B
134478,B,B,B,B
134522,C,C,C,C
134525,B,B,C,C
134535,A,C,C,C
134536,A,C,C,C
134539,A,A,B,B
134544,C,C,C,C
134548,D,D,B,B
134558,B,B,B,B
134563,B,B,B,B
134566,A,B,B,B
134579,B,B,B,B
134582,D,D,D,
134584,C,C,C,C
134585,C,D,D,
134595,B,B,B,B
134613,B,B,B,B
134617,B,B,B,B
134618,C,B,B,B
13463,A,C,D,B
134632,B,B,B,B
134634,B,A,B,A
134647,B,B,B,B
134655,B,B,B,B
134660,A,A,B,B
134666,C,C,C,C
134667,C,C,C,C
134668,C,C,D,C
134681,B,B,B,B
134690,D,C,C,C
134693,C,C,C,C
134696,D,D,D,D
134701,C,C,C,C
134702,B,B,B,B
134711,C,C,C,C
134721,C,C,C,D
134733,D,D,C,D
134734,D,C,C,C
134742,C,C,C,C
134748,B,B,B,B
13476,C,C,C,C
134781,C,C,C,C
134784,B,B,B,B
13481,B,A,C,C
134815,A,A,B,A
134821,B,B,B,B
134840,C,C,C,C
134850,B,B,B,B
134874,A,B,B,B
134877,B,B,B,B
134879,C,C,C,C
134887,D,D,B,B
134896,D,D,D,
134899,B,B,B,B
134910,B,B,B,B
134913,C,C,C,
134922,B,B,B,B
134923,C,C,C,C
134943,B,A,B,B
134952,B,B,B,B
134966,C,C,C,C
134986,B,B,B,B
134999,B,B,B,A
135009,C,C,C,D
135012,C,C,C,C
135015,C,C,C,C
135018,B,B,B,B
135019,C,C,C,D
135028,A,A,A,B
135031,D,D,D,C
135039,B,B,B,B
135056,D,D,D,D
135057,A,A,A,A
135062,B,A,A,A
135068,C,C,C,C
135074,B,B,B,B
135081,C,C,C,D
135087,B,B,B,B
135089,D,C,C,C
135097,A,C,C,C
135120,B,B,A,A
135125,D,D,D,D
135134,B,B,B,B
135138,A,A,A,C
13514,D,C,C,C
135140,D,D,D,D
135155,B,B,B,B
1351635,B,B,B,B
1351682,C,A,A,B
135173,A,A,A,A
135182,C,C,C,C
135192,A,A,A,
135198,A,A,B,B
135199,A,A,B,
135212,C,C,B,B
135216,C,C,C,C
135218,D,D,D,D
135222,C,C,C,C
135228,B,D,D,D
135261,A,A,A,A
13528,C,C,C,C
135296,B,B,B,B
135298,B,B,B,B
135305,B,C,C,C
135333,C,C,A,A
135347,D,D,B,B
135354,C,C,C,C
135366,B,B,B,B
135380,A,D,C,C
135381,C,A,C,A
135382,B,B,B,B
135384,A,B,B,B
135391,B,B,B,B
135402,C,C,C,C
135420,C,D,D,
135422,C,C,C,C
135424,D,D,C,C
135427,C,C,C,C
135439,C,C,C,C
13544,C,C,C,C
135454,B,B,B,D
135477,C,A,B,B
135485,C,C,C,C
135495,B,B,B,A
135496,D,D,C,C
135498,C,C,C,C
135516,C,C,C,C
135522,D,D,D,D
135528,C,C,C,C
135532,C,C,C,C
13554,C,C,C,C
135542,C,C,C,C
13557,C,C,D,
135575,C,C,C,C
135577,C,C,C,C
13558,C,C,D,
135583,B,B,B,B
135592,C,C,C,C
13560,C,C,D,C
135623,B,A,C,C
135628,D,D,D,A
135630,D,C,C,C
135650,D,C,C,C
135678,D,D,D,B
135690,D,D,D,D
135710,D,C,C,C
135717,C,C,C,C
135732,A,A,B,B
1357357,C,C,C,C
135737,C,C,C,C
135763,C,C,C,C
135766,A,A,A,
135767,A,A,C,C
135782,B,A,A,A
135802,B,B,B,B
135803,D,C,C,C
135811,A,C,C,C
135819,C,C,C,C
135835,C,C,C,C
135838,A,A,,B
135850,B,B,B,B
135861,C,D,D,D
135875,B,B,B,B
1359,B,B,A,B
13590,B,D,C,C
135914,B,B,B,B
135919,B,B,B,B
135920,C,C,A,A
135921,B,B,B,B
135924,A,A,A,B
135933,D,D,D,D
135946,B,B,B,A
135977,C,C,C,C
13598,C,A,A,A
135990,B,A,A,A
135999,A,B,C,D
136,B,A,C,C
1360,C,D,C,B
136005,B,B,B,B
136009,C,C,C,C
136011,B,B,B,B
136024,C,C,C,D
136025,A,C,C,C
136050,D,B,B,B
136053,A,A,B,B
136058,B,B,B,B
136059,B,B,B,B
136067,B,B,B,B
136068,D,D,D,D
136069,D,C,D,D
136082,C,C,C,D
136084,A,A,A,B
136092,A,A,A,A
136106,C,C,C,C
136110,B,B,B,B
136113,C,C,D,D
136121,B,B,B,B
136133,D,D,C,C
136134,C,C,C,C
136142,D,D,D,D
136144,B,B,B,B
136146,B,B,B,B
136195,C,D,D,D
136197,D,D,D,D
136201,D,B,B,B
136205,A,A,A,A
136216,B,B,B,B
136224,C,C,C,C
136227,A,B,B,C
13623,D,C,C,A
136230,D,D,D,B
136231,A,A,A,A
136232,C,C,C,A
136234,D,D,D,C
136235,C,D,D,
136243,C,C,C,C
136264,C,C,C,C
136269,D,D,D,D
136270,C,C,C,C
136302,D,D,D,D
13632,C,C,C,C
136340,C,C,C,C
136355,D,B,B,B
136372,A,C,C,C
136382,A,A,A,C
136390,C,C,C,A
136411,A,B,B,B
136439,B,B,C,D
136454,B,B,B,B
136463,D,C,C,C
136477,D,D,D,A
136482,C,C,C,C
136509,D,C,C,C
136518,C,C,C,D
136521,C,C,C,C
136522,C,C,C,C
136523,D,C,C,C
136525,D,D,D,C
136553,C,C,C,C
136565,C,D,C,C
136576,B,B,A,A
136592,C,C,C,C
136617,B,A,B,A
136618,C,D,B,A
136624,A,B,B,B
136626,C,C,C,C
136627,B,B,B,B
136634,C,C,C,C
136636,C,C,C,C
136638,C,C,C,A
136642,C,C,C,C
136644,C,C,C,D
136646,B,B,B,B
136647,B,B,A,A
136652,C,C,C,C
136653,C,C,C,C
136654,C,C,C,C
136656,A,A,A,A
136657,B,B,B,B
13668,C,C,C,C
136685,B,B,B,B
13669,C,C,C,C
136696,B,B,B,B
136699,C,C,C,C
136705,B,B,B,B
136711,B,B,B,B
136724,C,C,C,C
136728,C,C,,C
136733,A,B,B,B
136734,D,C,B,B
136770,D,D,D,D
136773,B,D,C,C
136775,B,B,B,C
136779,A,A,A,A
136780,C,C,C,C
136797,A,A,A,A
136800,A,B,B,A
136804,C,C,C,C
136829,B,B,B,B
136839,A,C,C,C
136853,A,C,C,D
136890,B,B,B,B
136893,B,A,A,A
136928,A,C,C,C
136936,A,A,A,A
136941,A,A,A,A
136944,D,C,C,C
136955,D,D,C,C
136961,C,D,D,C
1369703,A,B,A,B
136978,C,D,C,D
136980,B,B,B,B
136994,C,D,D,B
137011,D,D,D,D
137014,C,C,C,C
137015,C,C,C,D
137028,A,B,A,B
137029,B,B,B,B
137030,B,B,B,B
1370419,A,A,A,B
137042,B,B,B,B
137043,C,C,C,C
137053,C,C,C,C
137056,C,C,C,D
137057,C,C,C,C
137068,C,C,C,A
137077,D,D,D,D
137086,C,C,C,C
137089,B,B,B,B
1371,B,B,B,B
13710,C,C,C,C
137109,A,A,A,A
137118,A,A,A,A
137120,A,A,A,A
137121,D,B,B,D
137124,B,B,B,B
137126,D,D,D,D
137136,B,B,B,B
137155,C,C,C,C
137166,B,A,B,B
137190,B,B,B,B
137195,C,C,C,C
137204,C,C,C,C
137244,B,B,B,B
137246,B,A,B,B
137249,B,A,B,B
137288,A,A,,B
137291,B,B,B,B
137304,A,A,A,A
137311,C,C,C,C
13733,C,C,C,B
137331,C,A,A,A
137333,D,B,A,B
137335,C,C,C,C
137347,C,C,C,C
13735,B,B,A,A
137394,B,B,B,B
13742,B,B,B,B
137428,C,C,C,C
137437,B,C,C,C
137441,A,A,A,A
137446,B,B,B,B
137447,A,A,A,A
137454,A,A,A,A
137481,A,A,A,A
137506,A,A,A,C
137528,C,C,C,C
137535,D,C,C,C
137543,B,B,B,A
137548,A,A,A,A
13756,A,A,A,C
137561,C,C,A,A
137562,A,B,B,B
137577,D,B,B,D
13758,B,B,B,B
137597,D,D,D,D
137606,A,B,B,B
137621,B,C,D,D
137622,D,C,C,C
137625,C,C,C,C
137627,C,C,C,C
137629,A,C,C,C
137637,B,B,B,B
13766,B,D,D,D
137660,C,C,C,C
137662,D,D,B,B
13767,C,C,C,C
137672,D,D,B,C
137673,D,C,C,C
137676,C,C,C,D
13768,B,B,B,B
137688,B,B,B,B
1377,C,C,C,C
137706,B,B,B,B
137708,D,B,B,B
137710,B,B,B,A
137731,B,A,B,B
137742,B,B,B,B
137759,A,D,C,D
137762,C,C,C,D
137783,B,B,B,B
137791,B,B,B,A
137792,C,A,A,B
137797,C,D,C,D
13780,C,C,C,C
137801,C,C,C,D
137804,B,A,A,C
137816,B,D,,D
137825,D,D,D,D
137827,D,D,D,D
137828,C,C,C,C
137829,D,C,C,C
137830,C,C,C,C
137831,C,C,C,C
13784,C,C,C,C
137846,C,A,B,A
137849,C,C,C,C
137862,B,B,B,B
