aid,EP,ED,logCit
10009,0.375,0.6401481145334503,2.338170922526784
1001,0.3076923076923077,0.7119849009395919,1.7858549185837338
10019,0.36363636363636365,0.49596544696991374,1.798077548801318
10020,0.3770491803278688,0.5401335516367717,1.9480393812390782
1003,0.4,0.5717163528560703,2.557146518335692
1004,0.4375,0.6510832225825325,2.533288541864727
1004034,0.3333333333333333,0.5485103500340184,1.0655115080446267
10054,0.3333333333333333,0.660970368724989,1.864779071887237
1006,0.6,0.6915199708699883,1.2402613196400942
10066,0.35,0.7841421448772373,1.7371616971048887
10076,0.44,0.7706569458904162,1.5935506540627182
10077,0.4492753623188406,0.7116013075161439,1.7452448478456377
10080,0.6666666666666666,0.6578618376036108,1.8522324722675294
10081,0.35294117647058826,0.42010695495657663,1.9290294224888949
10082,0.5416666666666666,0.7098062926217713,1.669921512437607
1008235,0.3333333333333333,0.30543087182637785,1.5538048558150377
1008236,0.21428571428571427,0.39787198037974314,1.9832703128790214
1008237,0.3076923076923077,0.3909034907704999,2.0682851950571317
10088,0.5454545454545454,0.6830853422613226,1.497475891118297
10096,0.6666666666666666,0.7586173236886911,1.0545762402722318
1009872,0.3333333333333333,0.38556935668542636,0.9757305042358047
10106,0.4,0.676298441061161,1.7070494245655738
10112,0.7142857142857143,0.8117036092027935,1.5161298397457557
10118,0.45454545454545453,0.7117033071473755,1.353520464574742
10119,0.5555555555555556,0.7354239092890927,1.6613108915708081
10120,0.373134328358209,0.5475033685495788,2.3045937208267273
1012135,0.4444444444444444,0.5685764666476705,1.6215294954335442
10126,0.3888888888888889,0.6950969803029547,1.4505790756876973
10151,0.5333333333333333,0.8640707714255395,1.4905890369920571
10155,0.375,0.733737459395161,1.371429641480607
1015889,0.2727272727272727,0.4456389262264089,1.9319878482569337
10165,0.375,0.5920248409408468,2.238723453261891
1017,0.38461538461538464,0.5923253983647238,2.8015312544760564
10176,0.45,0.5551190191828452,1.9679737411218472
10178,0.7777777777777778,0.778309610941473,2.0163838031341204
1018,0.40540540540540543,0.6186369140257137,2.068546300047367
1019,0.3333333333333333,0.4760697359353913,2.420088085373142
1020,0.3888888888888889,0.7676554855387193,1.474294766779727
10209,0.27586206896551724,0.6579824630535385,1.4400424328613717
10212,0.3333333333333333,0.6569283204357262,1.5962655609747392
10222,0.3904761904761905,0.6388530825081884,1.8986843848693744
10227,0.4642857142857143,0.6340129841279053,1.8233856542268716
10232,0.4666666666666667,0.6470052467081951,1.4516851184384483
10233,0.5714285714285714,0.7579496674652988,2.2202628140533656
10240,0.5,0.6356990563659972,1.404639743741886
10241,0.6666666666666666,0.7641123810454388,1.4647922514779148
