tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
2,3,firstyear:a1982,0.0011,0,0.0489,0.0216,NA,0.0011,NA,ks.mean
2,3,firstyear:a1983,0.0019,0.0015,0.0537,0.0074,NA,4e-04,NA,ks.mean
2,3,firstyear:a1984,0.005,0.0048,0.0837,0.0016,NA,1e-04,NA,ks.mean
2,3,firstyear:a1985,0.0263,0.0189,0.1622,0.0461,NA,0.0075,NA,ks.mean
2,3,firstyear:a1986,0.0287,0.0266,0.1647,0.0124,NA,0.002,NA,ks.mean
2,3,firstyear:a1987,0.0269,0.0288,0.1733,0.0113,NA,0.002,NA,ks.mean
2,3,firstyear:a1988,0.0387,0.0328,0.1839,0.0325,NA,0.006,NA,ks.mean
2,3,firstyear:a1989,0.0411,0.0388,0.1977,0.0118,NA,0.0023,NA,ks.mean
2,3,firstyear:a1990,0.0442,0.0376,0.2005,0.033,NA,0.0066,NA,ks.mean
2,3,firstyear:a1991,0.0422,0.0434,0.2027,0.0059,NA,0.0012,NA,ks.mean
2,3,firstyear:a1992,0.059,0.061,0.236,0.0083,NA,0.002,NA,ks.mean
2,3,firstyear:a1993,0.07,0.0687,0.2497,0.0053,NA,0.0013,NA,ks.mean
2,3,firstyear:a1994,0.0688,0.0664,0.2492,0.0095,NA,0.0024,NA,ks.mean
2,3,firstyear:a1995,0.0665,0.0675,0.2496,0.004,NA,0.001,NA,ks.mean
2,3,firstyear:a1996,0.0626,0.0649,0.2405,0.0097,NA,0.0023,NA,ks.mean
2,3,firstyear:a1997,0.0671,0.0699,0.2496,0.0113,NA,0.0028,NA,ks.mean
2,3,firstyear:a1998,0.0631,0.0739,0.2459,0.0441,NA,0.0108,NA,ks.mean
2,3,firstyear:a1999,0.066,0.0708,0.2475,0.0193,NA,0.0048,NA,ks.mean
2,3,firstyear:a2000,0.0574,0.061,0.2352,0.0153,NA,0.0036,NA,ks.mean
2,3,firstyear:a2001,0.0566,0.0578,0.2337,0.0049,NA,0.0011,NA,ks.mean
2,3,firstyear:a2002,0.0459,0.045,0.2079,0.0041,NA,9e-04,NA,ks.mean
2,3,firstyear:a2003,0.0319,0.034,0.1765,0.0119,NA,0.0021,NA,ks.mean
2,3,firstyear:a2004,0.0205,0.0203,0.1426,9e-04,NA,1e-04,NA,ks.mean
2,3,firstyear:a2005,0.005,0.0038,0.065,0.0186,NA,0.0012,NA,ks.mean
2,3,Ncount,13.4769,12.8558,8.3116,0.0747,0.0051,0.0347,0.1394,ks.mean
2,3,Genre_0,2e-04,0,0.0168,0.0109,0.3174,2e-04,1,ks.mean
2,3,Genre_1,0.0242,0.0153,0.1593,0.0554,0.0323,0.0088,1,ks.mean
2,3,Genre_2,0.075,0.0759,0.2586,0.0036,0.899,9e-04,1,ks.mean
2,3,Genre_3,0.0345,0.0235,0.173,0.0635,0.0129,0.011,0.9994,ks.mean
2,3,Genre_4,0.1108,0.1187,0.313,0.0254,0.4318,0.008,1,ks.mean
2,3,Genre_5,0.0022,0.0024,0.0511,0.0043,0.8786,2e-04,1,ks.mean
2,3,Genre_6,0.0064,0.0062,0.0993,0.0015,0.9469,1e-04,1,ks.mean
2,3,Genre_7,0.0609,0.051,0.2279,0.0435,0.1089,0.0099,0.9999,ks.mean
2,3,Genre_8,0.0567,0.0483,0.2227,0.0378,0.1589,0.0084,1,ks.mean
2,3,Genre_9,0.0369,0.0297,0.1826,0.0392,0.1599,0.0072,1,ks.mean
2,3,Genre_10,0.0309,0.0272,0.1669,0.0216,0.404,0.0036,1,ks.mean
2,3,Genre_11,0.0538,0.0435,0.2166,0.0474,0.0589,0.0103,0.9998,ks.mean
2,3,Genre_12,2e-04,0,0.0084,0.0215,0.3174,2e-04,1,ks.mean
2,3,Genre_13,0.0276,0.0205,0.1578,0.0449,0.0537,0.0071,1,ks.mean
2,3,Genre_14,0.032,0.0291,0.1673,0.0173,0.5334,0.0029,1,ks.mean
2,3,Genre_15,0.071,0.0616,0.2479,0.0379,0.161,0.0094,1,ks.mean
2,3,Genre_16,0.0041,0.0056,0.0691,0.0213,0.4043,0.0015,1,ks.mean
2,3,Genre_17,0.0475,0.0394,0.2042,0.0393,0.1198,0.008,1,ks.mean
