,2.5 %,97.5 %
(Intercept),1.49981197164928,1.59509999845925
as.factor(quantile_50)1,0.0414945032835834,0.144017268042319
as.factor(quantile_50)2,0.0228725896638804,0.126121855056001
as.factor(quantile_50)3,0.114431344498056,0.22426528682684
"x"
"1",1
"2.5 %","97.5 %"
"(Intercept)",1.62129686846744,1.65912687296699
"as.factor(quantile_50)1",-0.144017268042317,-0.041494503283583
"as.factor(quantile_50)2",-0.0456981967862391,0.00918087018021821
"as.factor(quantile_50)3",0.0433704640937175,0.109814395905276
"x"
"1",2
"2.5 %","97.5 %"
"(Intercept)",1.60207480990162,1.64183160492679
"as.factor(quantile_50)1",-0.00918087018021895,0.0456981967862386
"as.factor(quantile_50)2",-0.126121855056,-0.0228725896638806
"as.factor(quantile_50)3",0.0610713301860464,0.128630856418967
"x"
"1",3
"2.5 %","97.5 %"
"(Intercept)",1.6894927334139,1.74411586801952
"as.factor(quantile_50)1",-0.109814395905277,-0.0433704640937177
"as.factor(quantile_50)2",-0.128630856418967,-0.0610713301860462
"as.factor(quantile_50)3",-0.224265286826839,-0.114431344498055
