,2.5 %,97.5 %
(Intercept),1.45257897369838,1.51582544471441
as.factor(quantile_50)1,0.0392322439420749,0.113294381177578
as.factor(quantile_50)2,0.0564171359146996,0.129942378752933
as.factor(quantile_50)3,0.0910752914987746,0.175564522163198
"x"
"1",1
"2.5 %","97.5 %"
"(Intercept)",1.54119712746423,1.57973391606822
"as.factor(quantile_50)1",-0.113294381177579,-0.0392322439420751
"as.factor(quantile_50)2",-0.00996723668125902,0.0438001262292401
"as.factor(quantile_50)3",0.0230588072909968,0.0910543812513233
"x"
"1",2
"2.5 %","97.5 %"
"(Intercept)",1.55863466514481,1.59612926793562
"as.factor(quantile_50)1",-0.0438001262292398,0.00996723668125923
"as.factor(quantile_50)2",-0.129942378752934,-0.0564171359146998
"as.factor(quantile_50)3",0.00643495983472669,0.0738453391596129
"x"
"1",3
"2.5 %","97.5 %"
"(Intercept)",1.58951178757499,1.64553244449978
"as.factor(quantile_50)1",-0.0910543812513232,-0.0230588072909967
"as.factor(quantile_50)2",-0.0738453391596128,-0.00643495983472672
"as.factor(quantile_50)3",-0.175564522163198,-0.0910752914987744
