tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
2,3,Genre_35,0.0026,0.0015,0.0589,0.0181,0.4107,0.0011,1,ks.mean
2,3,Genre_36,0.0385,0.0081,0.1826,0.1665,0,0.0304,0.2596,ks.mean
2,3,Genre_37,0.0985,0.0852,0.3073,0.0431,0.2539,0.0132,0.9903,ks.mean
2,3,Genre_38,0.0123,0.0121,0.1292,0.001,0.9755,1e-04,1,ks.mean
2,3,Genre_39,0.0166,0.0202,0.1606,0.0226,0.4687,0.0036,1,ks.mean
2,3,Genre_40,0.0597,0.0502,0.2332,0.0407,0.2457,0.0095,1,ks.mean
2,3,Genre_41,0.0047,0.0068,0.0904,0.0237,0.3663,0.0021,1,ks.mean
2,3,Genre_42,0.0046,0.002,0.1024,0.0248,0.1468,0.0025,1,ks.mean
2,3,Genre_43,0.0076,0.006,0.1207,0.0133,0.5159,0.0016,1,ks.mean
2,3,Genre_44,0.0598,0.0545,0.2504,0.021,0.5835,0.0053,1,ks.mean
2,3,Genre_45,0.1211,0.1394,0.3338,0.0549,0.0678,0.0183,0.8525,ks.mean
2,3,Genre_46,0.0497,0.0524,0.2232,0.0118,0.6818,0.0026,1,ks.mean
2,3,Genre_47,0.0908,0.0967,0.284,0.0207,0.4848,0.0059,1,ks.mean
2,3,Genre_48,0.0862,0.0904,0.2737,0.0155,0.5886,0.0042,1,ks.mean
2,3,Genre_49,0.1154,0.1248,0.3082,0.0304,0.2725,0.0094,1,ks.mean
2,3,Genre_50,0.0257,0.0193,0.164,0.0386,0.1141,0.0063,1,ks.mean
2,3,Genre_51,0.0096,0.0077,0.1127,0.0162,0.5324,0.0018,1,ks.mean
2,3,Genre_52,0.0793,0.0847,0.2813,0.0195,0.5339,0.0055,1,ks.mean
2,3,Genre_53,0.0258,0.0314,0.1684,0.0333,0.2821,0.0056,1,ks.mean
2,3,Genre_54,0.0146,0.0154,0.1472,0.0056,0.8749,8e-04,1,ks.mean
2,3,Genre_55,0.0241,0.0104,0.1631,0.0843,0.0038,0.0137,0.9853,ks.mean
2,3,Genre_56,0.0021,0.0021,0.063,2e-04,0.9938,0,1,ks.mean
2,3,Genre_57,8e-04,6e-04,0.0484,0.0056,0.7475,3e-04,1,ks.mean
2,3,Genre_58,0.0089,0.0078,0.1027,0.0104,0.6341,0.0011,1,ks.mean
2,3,Genre_59,0.0109,0.0092,0.1111,0.0146,0.5827,0.0016,1,ks.mean
2,3,Genre_60,0.006,0.0039,0.0752,0.0277,0.2088,0.0021,1,ks.mean
2,3,Genre_61,2e-04,0.0014,0.0377,0.0305,0.1588,0.0011,1,ks.mean
2,3,Genre_62,7e-04,0,0.0315,0.0235,0.3171,7e-04,1,ks.mean
2,3,Genre_63,0,0,0.0084,0,NA,0,1,ks.mean
2,3,Genre_64,3e-04,0.0012,0.0253,0.0343,0.4725,9e-04,1,ks.mean
2,3,Genre_65,0.0105,0.0098,0.0992,0.0077,0.7683,8e-04,1,ks.mean
2,3,Genre_66,0.0011,0.0018,0.0429,0.0157,0.5064,7e-04,1,ks.mean
2,3,Genre_67,0.0079,0.0062,0.0881,0.0191,0.4215,0.0017,1,ks.mean
2,3,Genre_68,0.0249,0.0218,0.1477,0.021,0.3956,0.0031,1,ks.mean
2,3,Genre_69,0,0,0.0119,0,NA,0,1,ks.mean
